show_id;title;synopsis;release_year;date_added;duration;content_type_id_fk;rating_id_fk
80198001;Strong Girl Bong-soon;Born with supernatural strength Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.;2017;2019-11-24;1 Season;1;1
60020948;Charlotte's Web;Follow the adventures of Wilbur the pig Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.;1973;2019-11-23;94 min;2;9
70235384;End of Watch;Officers Taylor and Zavala patrol the streets of South Central Los Angeles an area of the city ruled by gangs and riddled with drug violence.;2012;2019-11-23;109 min;2;6
569355;Hamburger Hill;The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.;1987;2019-11-23;110 min;2;6
81208888;Once Upon A Time In Lingjian Mountain;As the nine continents face a crisis a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage.;2019;2019-11-23;1 Season;1;5
60022645;The Time Machine;Based on the H.G. Wells classic this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.;2002;2019-11-23;96 min;2;10
80198859;Brother;Thrust from a violent home into a brutal custody center a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.;2019;2019-11-22;97 min;2;4
80216180;Dino Girl Gauko;When she gets angry middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends aliens and more her life is full of wacky incidents.;2019;2019-11-22;1 Season;1;11
80244846;Dolly Parton's Heartstrings;Eight stories celebrating family faith love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.;2019;2019-11-22;1 Season;1;1
80159876;Girls und Panzer der Film;The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.;2015;2019-11-22;121 min;2;1
80233258;High Seas;Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.;2019;1900-01-01;2 Seasons;1;4
70091304;Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal;Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.;2008;2019-11-22;56 min;2;1
81019894;Nailed It! Holiday!;"It's the ""Nailed It!"" holiday special you've been waiting for with missing ingredients impossible asks and desserts that look delightfully sad.";2019;1900-01-01;2 Seasons;1;5
81169145;Narcoworld: Dope Stories;Ride along as police officers and drug smugglers go toe-to-toe trying to outwit each other in locales around the world.;2019;2019-11-22;1 Season;1;4
80244700;Nobody's Looking;"A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans.";2019;2019-11-22;1 Season;1;4
81218074;Shelby American;Featuring interviews and vintage footage this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.;2019;2019-11-22;119 min;2;1
80245262;Singapore Social;Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career romance and family.;2019;2019-11-22;1 Season;1;4
80212245;The Dragon Prince;An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.;2019;1900-01-01;3 Seasons;1;11
80117560;Trolls: The Beat Goes On!;As Queen Poppy welcomes a new time of peace in Troll Village with parties sports and holiday celebrations Branch tries to be more fun-loving.;2019;1900-01-01;8 Seasons;1;2
