show_id,genre_id
81193313,1
81197050,2
81213894,3
81082007,4
80213643,5
81172754,3
81120982,4
81227195,4
70205672,6
81172841,3
81172899,3
81094391,7
81172908,8
81152641,1
81172901,4
80990849,9
81033086,10
80156799,11
81161538,1
80997965,12
81018979,1
60020826,4
81002391,9
70101696,8
81194544,3
80995081,10
81177504,4
80175798,4
81062293,13
80235524,10
81204911,6
81035121,14
81140259,1
80241855,6
81215481,8
81005044,2
81218079,15
60028294,8
80125671,4
80198001,6
60020948,10
70235384,8
569355,8
81208888,1
60022645,8
80198859,4
80216180,11
80244846,16
80159876,8
80233258,6
70091304,13
81019894,7
81169145,6
80244700,1
81218074,2
80245262,1
80212245,5
80117560,5
60023606,8
80241539,6
81026188,10
70267398,4
81152643,1
80108983,3
292118,3
70003046,3
80221584,2
70053833,4
70122722,17
81217738,4
80081990,2
60004471,3
60022413,4
81011957,1
70058022,3
60022502,10
80244683,2
80028357,3
81217739,4
60031884,8
70117289,3
28631236,3
70121502,10
70215455,17
506464,3
60003508,4
70105132,3
60004083,18
70087538,3
1181661,4
60011552,18
80222157,6
70044693,8
70173046,3
70039187,10
70044686,19
81073633,13
81152642,1
81105522,1
81191473,1
80025678,20
70189289,8
81132624,8
80013267,13
80046819,4
70293315,17
81179844,1
80244457,4
81196441,2
81162089,10
81217737,8
81076114,3
80217594,7
81033650,1
80003477,11
80093820,21
80183187,10
81179882,1
70124331,3
80115338,5
81179821,1
81033645,1
81217749,2
80158800,2
80238391,6
70291121,21
80242491,1
80161497,9
81086462,6
81179864,1
81156627,2
81096745,13
81163776,1
81034946,9
81070963,1
80178941,5
81078466,13
70117297,4
81200229,1
81152923,8
81171862,2
80239931,12
81011159,1
80209553,1
80989924,20
80057250,5
70243445,8
80201542,3
81079723,8
81013505,20
80230435,6
80127886,22
81092045,4
81153751,6
81034600,8
81209203,10
81042948,1
80027564,5
81058497,13
80179762,5
80175722,20
80167628,3
81165326,4
81053961,3
81142595,6
70209267,10
70306305,3
70262831,3
70113005,8
70052286,3
81200716,20
80114460,2
81206389,4
80201488,6
70117294,8
81215856,14
81214223,10
80045925,5
80027560,10
70135899,17
81215437,10
81215438,10
81214187,10
80160987,10
81215439,10
70178618,17
70292700,10
81214214,10
70172485,5
80234414,20
70044870,8
26597413,4
80245356,3
81193616,9
81082327,6
18002692,4
81024100,4
60027583,3
80216003,2
80117540,12
81184735,5
81183624,1
80221999,7
60002033,18
70046968,18
81154982,10
81063129,4
81074542,3
70204963,11
382650,8
70044705,8
449931,18
81189912,8
80215046,10
60036838,8
81179693,4
485218,8
1192866,15
11819434,3
81050375,2
516788,8
70048968,3
542137,18
60021796,3
60031247,17
60000577,18
80241387,6
80090673,11
70039241,2
80227818,5
80094603,7
80231468,10
81083786,10
80153894,3
1179333,3
70118779,4
653673,2
70020947,8
70117305,8
701346,18
70111489,2
709163,8
709380,18
1150871,3
80239860,11
70082264,3
81104406,11
80144355,9
80150290,11
1179583,8
70044595,10
60011729,8
70044883,3
22497725,8
60021590,8
60023638,8
81075744,1
70031792,18
70100383,4
60002403,18
17236920,4
923574,8
81152930,10
973861,4
70058796,4
70047101,8
81189396,2
70093991,3
60033247,8
81022003,7
70060000,4
70295067,4
70031779,18
80101401,5
1178866,15
60033312,8
81030409,14
80182016,4
684847,8
81150305,4
20557937,8
60027695,8
60031303,8
81170692,2
848915,4
60022980,8
60003961,2
81035120,14
70060005,8
70266992,1
80218819,1
70084791,3
81170694,2
70123542,3
81084225,13
80992228,11
80113037,1
80203920,6
80242051,6
81166978,1
80991060,9
81177371,4
81167029,1
81142594,6
81148672,13
81169914,9
81211714,2
80244679,2
81034099,7
81110394,2
81197399,1
81185502,1
81123469,4
80081372,4
81136744,17
70300800,12
80221210,6
81192130,5
81132444,4
80182014,3
81010786,6
80095435,5
81078456,2
81105406,6
81121023,22
81061828,1
81062582,1
81017316,7
81018455,17
81110383,3
80201680,12
81200228,1
81011059,5
80197462,23
81034741,2
81075461,17
80017261,8
81038022,9
80186796,2
81071891,8
70295169,8
80039050,3
81027753,2
15815343,19
70295176,8
81043190,4
80091310,8
80995687,10
60001650,8
81172848,3
81034575,4
81172729,3
81172895,4
80211634,1
80206910,17
81172905,4
80217627,20
80176872,20
80178724,12
81132442,3
80126646,9
81020066,5
81193245,5
81172723,4
80990336,3
81094271,5
81172909,8
80214706,2
80160935,1
80994011,3
81064730,1
80208910,9
81172902,4
80998890,3
81047903,4
80227516,6
70125931,10
80222326,5
81077044,1
81081656,2
81187847,2
81053240,13
81167011,1
80043834,17
81157840,2
80176234,6
80992769,4
81191228,4
81154549,9
81192594,5
70267476,11
80990869,13
81034012,4
81191500,6
81132441,3
81078819,4
80223997,15
80195378,7
80179905,12
81191666,4
81133621,4
80190086,1
81038598,17
80212481,5
81172568,11
81171871,22
80036165,12
81019771,11
80244311,4
81183570,4
80216665,7
80995737,13
81021976,10
80025390,4
81016338,4
80215730,5
81161487,1
81177367,4
80164032,2
81158574,3
80214792,20
80237905,17
81132440,10
80002479,20
80117803,5
80146284,9
80124711,5
81021243,10
70185045,2
80217066,11
80222133,7
81029301,20
81025218,1
81025251,6
80224490,20
81025309,7
81025263,20
81025361,20
81025317,7
80209609,9
81094801,3
81191195,2
81168338,4
81103033,17
60002273,15
70297962,10
269880,8
60029167,8
60020891,4
80083261,20
347365,19
80167821,5
60003242,8
60027726,8
81166946,1
81167065,1
81113888,1
70023961,4
60027716,3
70287957,10
81113890,1
81168345,3
60020892,8
81164752,4
81113886,1
60028097,10
70065112,3
70083108,3
70184050,4
81168347,18
81003460,17
81113887,1
81168348,4
70095135,24
81191254,2
80083330,20
81179400,10
81168340,17
60023597,8
81036448,5
81002876,13
70058017,3
70058024,8
70011211,8
70271599,2
70020699,18
60003540,10
1181550,17
70170051,2
80987077,6
70021630,8
81043753,17
60001761,8
70041963,8
70058025,10
70128696,8
70077542,3
81168342,3
81165772,17
510854,10
60000921,10
80188730,1
81167083,1
81168343,4
70044605,4
18021979,10
81168344,4
70020750,3
70105596,4
60037022,3
60034571,8
81167047,6
70053456,10
80173150,4
81168341,4
81168346,18
80020542,6
81054495,13
81053893,2
80200087,22
81053892,4
80225885,1
81132443,3
80218107,5
80115297,6
80231903,4
80220715,6
81171121,21
80241248,12
80216752,9
81177238,22
70270775,8
81025403,6
80057883,9
80244682,2
81075519,8
80108495,1
80166318,10
80059465,6
81186758,3
81186757,3
70185015,12
80108976,8
70210884,25
81053953,8
81074113,13
80127001,1
81176200,3
80238106,5
80208906,3
81004814,12
81080769,4
81172721,4
81172727,3
70153543,4
81172728,3
81095101,1
80243600,3
81020513,6
81020518,6
81020523,6
80216172,20
81122669,4
80095697,23
80190009,7
80184771,9
81000389,1
81132439,3
81035117,10
80244627,25
81107545,4
70118953,2
70281312,6
80149143,4
81144925,1
81147293,17
70178604,9
80991316,8
80190588,2
70124316,8
70229037,13
80219119,5
80058248,8
70251519,9
81174992,11
81044365,6
81030342,2
70143865,7
70054723,2
81069393,9
80012550,9
81131761,14
81176196,7
70143831,9
81093951,3
80238013,2
81089941,4
81092328,4
81183572,15
81037283,17
80244973,2
80171611,12
81095103,11
81132438,3
80217779,1
80211572,1
81161230,4
81002412,10
81028317,9
80077977,12
81023636,8
80217669,20
80153467,6
80993062,23
81098586,9
70267728,10
81072571,5
81060174,13
70130445,4
80216928,2
81001494,2
70184207,12
70302573,11
81077065,1
81145628,10
80221550,5
81154455,4
81113928,3
81052275,3
80200942,6
80141782,9
80186848,20
81132437,3
80178151,1
81176188,2
81160036,4
81173255,17
81078908,4
81155784,3
80184129,3
60000861,3
1151375,8
81137484,2
80187228,8
81031008,2
70099119,10
70039185,3
81073764,5
70279852,23
81165769,4
80174902,9
70056433,3
70113003,4
60031232,4
70205012,11
80036427,20
80032842,4
81137482,4
70043308,10
81165771,3
70044697,8
70105368,4
80053653,6
80241003,20
81141689,10
1008581,18
70058023,3
81165786,4
81165770,4
70043303,4
70136074,17
1153194,8
70112730,8
70177057,26
81154900,5
81154956,5
81158575,3
81065786,8
70087541,8
80226089,20
81034010,3
80992137,11
81091381,3
81141694,10
80211492,5
80204364,7
80196382,20
80148535,23
80999091,6
80063224,20
80063599,5
80209658,22
81167494,8
80999781,3
80997400,4
70292992,4
80198991,1
81029611,7
81046796,2
80121349,1
81004322,20
80113701,12
81140577,13
81003736,4
81036530,3
81145277,15
80117470,6
80996791,6
80200027,11
81155859,3
81155858,3
81147910,22
80203254,1
81155802,4
70285728,4
80168068,1
81090071,2
81151880,17
81151877,17
81151878,17
80189648,7
81144912,22
60021787,4
81082125,2
81045860,13
81040407,1
81106517,6
81026915,6
70304252,11
80201543,9
81092330,3
80205594,6
70204989,11
81091957,10
80114855,6
81003033,9
80021840,24
80231419,3
81006335,10
81175361,1
80235578,3
81078331,1
80195357,11
81154987,10
80115328,6
81122206,1
81004321,13
80223113,6
70283264,23
81147274,4
81147278,3
81146011,2
81123826,2
80161728,16
81002933,27
81135868,2
81145135,5
80100929,1
81156592,13
80114988,12
80027159,12
81074367,4
81091977,10
80217315,6
80063867,9
80243216,5
81016914,7
81153372,2
80178427,6
81079322,1
80027158,28
70183165,10
80183878,1
80177986,1
80165295,1
80178404,1
80165487,1
70297144,1
81087761,2
81065902,17
80239462,1
80230293,23
81112446,22
81088318,2
80080617,13
80044888,3
80050006,13
80002621,13
81145273,3
81047680,2
81001278,13
81035838,3
81035835,8
81143771,2
80231658,5
80208295,4
80994162,10
80108159,5
80245353,9
70287604,5
80095698,12
80238565,20
70242938,4
81150918,2
80164216,5
22469949,4
80211623,3
81155803,4
70121522,3
81065784,3
80124099,8
70119812,8
60032685,17
70006816,4
70236587,3
520489,18
80160755,20
70171946,16
70266677,4
60010514,4
70301367,8
81139317,6
80014727,8
81050688,4
80081505,8
60022700,15
81155880,9
915927,8
916043,4
60010836,4
916061,4
60025674,4
70039168,3
81103092,15
80242065,1
